id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,acidente_fatal,total_vitimas
691411,2025-04-01,terça-feira,20:25:00,CE,116,19,EUSEBIO,Acumulo de areia ou detritos sobre o pavimento,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Retorno Regulamentado,Sim,2,0,2,0,0,0,2,1,"-3,91890974","-38,50715518",SPRF-CE,DEL01-CE,UOP02-DEL01-CE,0,2
691412,2025-03-28,sexta-feira,23:30:00,MA,135,"22,5",SAO LUIS,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Ignorado,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,"-2,55615371","-44,3111918",SPRF-MA,DEL01-MA,UOP01-DEL01-MA,0,1
691415,2025-05-15,quinta-feira,12:30:00,SC,101,"350,2",JAGUARUNA,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta;Declive,Não,4,0,2,0,2,0,2,1,"-28,5999317","-49,0493791",SPRF-SC,DEL02-SC,UOP01-DEL02-SC,0,2
691416,2025-05-15,quinta-feira,06:50:00,SP,116,505,CAJATI,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Curva;Declive,Não,1,0,1,0,0,0,1,1,"-24,789915","-48,204815",SPRF-SP,DEL05-SP,UOP02-DEL05-SP,0,1
691419,2025-05-15,quinta-feira,12:40:00,ES,101,190,ARACRUZ,Reação tardia ou ineficiente do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,1,0,1,0,0,0,1,1,"-19,68577278","-40,28173484",SPRF-ES,DEL04-ES,UOP01-DEL04-ES,0,1
691421,2025-05-15,quinta-feira,11:57:00,MG,116,"527,9",CARATINGA,Reação tardia ou ineficiente do condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Interseção de Vias;Reta,Sim,3,0,2,0,1,0,2,2,"-19,764272","-42,1321073",SPRF-MG,DEL06-MG,UOP02-DEL06-MG,0,2
691423,2025-05-15,quinta-feira,09:30:00,MG,116,"510,4",UBAPORANGA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Fatais,Pleno dia,Decrescente,Céu Claro,Simples,Reta;Declive,Não,2,1,1,0,0,0,1,2,"-19,64994765","-42,10964799",SPRF-MG,DEL06-MG,UOP02-DEL06-MG,1,2
691424,2025-05-15,quinta-feira,07:00:00,RJ,101,"2,2",RIO DE JANEIRO,Ausência de reação do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Curva;Declive,Sim,2,0,1,0,1,0,1,2,"-22,87697047","-43,23219392",SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,0,1
691425,2025-05-15,quinta-feira,11:00:00,PI,316,312,PICOS,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,"-7,08092534","-41,4582602",SPRF-PI,DEL04-PI,UOP01-DEL04-PI,0,1
691426,2025-05-15,quinta-feira,11:30:00,RJ,101,321,NITEROI,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,"-22,87951854","-43,11398839",SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,0,1
